GEOID,NAME,est2019,est2021,shift,mn
2646000,"Lansing city, Michigan",20.1,18.1,-2,19.1
2707966,"Brooklyn Park city, Minnesota",24.2,22.2,-2,23.2
2743000,"Minneapolis city, Minnesota",24.1,22.1,-2,23.1
3251800,"North Las Vegas city, Nevada",28.2,26.2,-2,27.2
3254600,"Paradise CDP, Nevada",23.3,21.3,-2,22.3
3712000,"Charlotte city, North Carolina",26.2,24.2,-2,25.2
4805000,"Austin city, Texas",25.3,23.3,-2,24.3
4830464,"Grand Prairie city, Texas",29.4,27.4,-2,28.4
7214290,"Carolina zona urbana, Puerto Rico",28.8,26.8,-2,27.8
0649270,"Moreno Valley city, California",36.2,34.1,-2.1,35.2
1723074,"Elgin city, Illinois",29.3,27.2,-2.1,28.2
2250115,"Metairie CDP, Louisiana",22.5,20.4,-2.1,21.4
3456550,"Passaic city, New Jersey",26.5,24.4,-2.1,25.4
3915000,"Cincinnati city, Ohio",23.7,21.6,-2.1,22.6
4134100,"Hillsboro city, Oregon",23.3,21.2,-2.1,22.2
4815976,"College Station city, Texas",17.7,15.6,-2.1,16.6
4835000,"Houston city, Texas",28.5,26.4,-2.1,27.4
5363000,"Seattle city, Washington",28.4,26.3,-2.1,27.4
1077580,"Wilmington city, Delaware",23.9,21.7,-2.2,22.8
2148006,"Louisville/Jefferson County metro government (balance), Kentucky",23,20.8,-2.2,21.9
2582000,"Worcester city, Massachusetts",26.1,23.9,-2.2,25
0404720,"Avondale city, Arizona",28.8,26.5,-2.3,27.6
0682590,"Victorville city, California",41.6,39.3,-2.3,40.5
1238250,"Lakeland city, Florida",24.7,22.4,-2.3,23.5
1253000,"Orlando city, Florida",28.1,25.8,-2.3,27
1256825,"Pine Hills CDP, Florida",30.7,28.4,-2.3,29.5
2676460,"Sterling Heights city, Michigan",27.3,25,-2.3,26.1
3268400,"Sparks city, Nevada",24.9,22.6,-2.3,23.8
3345140,"Manchester city, New Hampshire",23.9,21.6,-2.3,22.8
3474630,"Union City city, New Jersey",34.5,32.2,-2.3,33.4
3728000,"Greensboro city, North Carolina",22.5,20.2,-2.3,21.4
3731400,"High Point city, North Carolina",23.2,20.9,-2.3,22
4847892,"Mesquite city, Texas",33.7,31.4,-2.3,32.5
4864472,"San Angelo city, Texas",18.1,15.8,-2.3,17
5322640,"Everett city, Washington",27.6,25.3,-2.3,26.5
0613392,"Chula Vista city, California",29.1,26.7,-2.4,27.9
0812815,"Centennial city, Colorado",26.7,24.3,-2.4,25.5
0816000,"Colorado Springs city, Colorado",23.4,21,-2.4,22.2
4856000,"Pasadena city, Texas",27.5,25.1,-2.4,26.3
4865000,"San Antonio city, Texas",25.5,23.1,-2.4,24.3
5156000,"Newport News city, Virginia",23.2,20.8,-2.4,22
5367000,"Spokane city, Washington",22.2,19.8,-2.4,21
0602000,"Anaheim city, California",30.3,27.8,-2.5,29
0649670,"Mountain View city, California",26.2,23.7,-2.5,25
2629000,"Flint city, Michigan",22.4,19.9,-2.5,21.1
2634000,"Grand Rapids city, Michigan",20,17.5,-2.5,18.8
2740166,"Maple Grove city, Minnesota",26.6,24.1,-2.5,25.4
4105350,"Beaverton city, Oregon",24.8,22.3,-2.5,23.6
4474300,"Warwick city, Rhode Island",25.6,23.1,-2.5,24.4
4827684,"Frisco city, Texas",28.8,26.3,-2.5,27.6
5374060,"Vancouver city, Washington",25.4,22.9,-2.5,24.1
0455000,"Phoenix city, Arizona",27.1,24.5,-2.6,25.8
0641992,"Livermore city, California",31,28.4,-2.6,29.7
1268350,"Spring Hill CDP, Florida",30,27.4,-2.6,28.7
1369000,"Savannah city, Georgia",21.5,18.9,-2.6,20.2
2108902,"Bowling Green city, Kentucky",20,17.4,-2.6,18.7
2507000,"Boston city, Massachusetts",31.2,28.6,-2.6,29.9
2534550,"Lawrence city, Massachusetts",22.9,20.3,-2.6,21.6
2669035,"Rochester Hills city, Michigan",27.1,24.5,-2.6,25.8
2954074,"O'Fallon city, Missouri",25.8,23.2,-2.6,24.5
3474000,"Trenton city, New Jersey",26.6,24,-2.6,25.3
3807200,"Bismarck city, North Dakota",15.3,12.7,-2.6,14
3961000,"Parma city, Ohio",24.6,22,-2.6,23.3
5584250,"Waukesha city, Wisconsin",22.7,20.1,-2.6,21.4
1254000,"Palm Bay city, Florida",29.2,26.5,-2.7,27.9
1304000,"Atlanta city, Georgia",27.8,25.1,-2.7,26.5
4159000,"Portland city, Oregon",26.3,23.6,-2.7,25
4801924,"Allen city, Texas",28.2,25.5,-2.7,26.9
5539225,"Kenosha city, Wisconsin",25.2,22.5,-2.7,23.9
0611390,"Carmichael CDP, California",27.1,24.3,-2.8,25.7
0622804,"Escondido city, California",29.6,26.8,-2.8,28.2
0820000,"Denver city, Colorado",27.1,24.3,-2.8,25.7
2472450,"Silver Spring CDP, Maryland",34.3,31.5,-2.8,32.9
3755000,"Raleigh city, North Carolina",24.4,21.6,-2.8,23
5305210,"Bellevue city, Washington",24.9,22.1,-2.8,23.5
1270675,"Tamarac city, Florida",30.9,28,-2.9,29.4
1652120,"Meridian city, Idaho",24.2,21.3,-2.9,22.8
4652980,"Rapid City city, South Dakota",17,14.1,-2.9,15.6
5357745,"Renton city, Washington",32.8,29.9,-2.9,31.3
1272145,"Town 'n' Country CDP, Florida",29.4,26.4,-3,27.9
5147672,"Lynchburg city, Virginia",17.6,14.6,-3,16.1
0645022,"Madera city, California",29.3,26.2,-3.1,27.8
0666000,"San Diego city, California",25.5,22.4,-3.1,24
0678120,"Temecula city, California",37.9,34.8,-3.1,36.3
